id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Otho;Turcotte;Allen.Raynor@gmail.com;over quirkily;2024-04-08T06:51:12;5173;7337
2;Candice;Mayer;Clovis76@hotmail.com;drat;2024-04-08T09:14:20;15895;2176
3;Isabel;Hagenes;Kianna.Zieme76@hotmail.com;desktop;2024-04-07T22:37:18;16092;31919
4;Brant;Bayer;Holly74@hotmail.com;zowie uphold passionate;2024-04-08T15:47:10;32164;11463
5;Willie;Nienow;Matilde1@yahoo.com;if;2024-04-08T20:38:51;560;9370
6;Gaetano;Runte;Roel.Satterfield@hotmail.com;eek especially crossly;2024-04-08T17:20:28;17791;27500
7;Lukas;Stokes;Lilly.Yost-Windler@yahoo.com;blah format jealously;2024-04-08T16:02:52;15814;9756
8;Sigrid;Hartmann;Savion37@yahoo.com;adjudge that wherever;2024-04-08T05:04:28;32536;30786
9;Earnestine;Hayes;River.Weissnat@hotmail.com;breathalyze before;2024-04-07T23:17:39;15333;2648
10;Anissa;Mosciski;Houston68@gmail.com;past next;2024-04-08T08:06:44;25568;15779
